S1 A1
S1 B1
S1 B12
A1 A2
A1 B1
A1 B2
A2 S2
A2 B2
A2 B3
S2 A3
S2 B3
S2 B4
A3 A4
A3 B4
A3 B5
A4 S3
A4 B5
A4 B6
S3 A5
S3 B6
S3 B7
A5 A6
A5 B7
A5 B8
A6 S4
A6 B8
A6 B9
S4 A7
S4 B9
S4 B10
A7 A8
A7 B10
A7 B11
A8 S1
A8 B11
A8 B12
B1 B2
B2 B3
B3 B4
B4 B5
B5 B6
B6 B7
B7 B8
B8 B9
B9 B10
B10 B11
B11 B12
B12 B1
O1 C1
O1 B12
O1 B1
C1 C2
C1 B1
C1 B2
C2 O2
C2 B2
C2 B3
O2 C3
O2 B3
O2 B4
C3 C4
C3 B4
C3 B5
C4 O3
C4 B5
C4 B6
O3 C5
O3 B6
O3 B7
C5 C6
C5 B7
C5 B8 
C6 O4
C6 B8
C6 B9
O4 C7
O4 B9
O4 B10
C7 C8
C7 B10
C7 B11
C8 O1
C8 B11
C8 B12
